阮, Ún, 我們(不包含聽者), L0, 汕頭話讀本
敗, Phái, 壞, L0, 汕頭話讀本
無定着, Bô tiāⁿ-tiéh, 不確定, L0, 汕頭話讀本
烏暗, Ou-àm, 黑暗, L0, 汕頭話讀本
萬世, Buān-sì, 永恆, L1, 汕頭話讀本
財氣, Tshâi-khì, 幸運, L0, 汕頭話讀本
切要, Chhiet-iòu, 重要, L0, 汕頭話讀本
妥當, Thó-tàng, 穩妥, L0, 汕頭話讀本
穩當, Ún-tǹg, 穩妥, L0, 汕頭話讀本
條直, Tiâu-ti̍t, 穩妥, L0, 考釋
光通, Kng-thàng, 透明, L1, 汕頭話讀本
施爲, Si-ûi, 辦法, L2, 考釋
能爲, Lêng-ûi, 能力, L0, 考釋
