厝主, tshu3-tsu2, 房東, k00, 汕頭話讀本
保領, po2-niann2, 保證, k10, 汕頭話讀本
重利, tang6-lai7, 高利, k00, 汕頭話讀本
出字白, tshut4-ji7-peh8, 登佈告, k10, 汕頭話讀本
公親, kong1-chhin1, 公斷人, k00, 汕頭話讀本
二手, ji7-chhiu2, 助理, k20, 汕頭話讀本
攬儎字, nam2-tsai7-ji7, 提貨單, k00, 汕頭話讀本
拍空, phah4-khang1, 經紀人, k00, 汕頭話讀本
生理, seng1-li2, 生意, k00, 汕頭話讀本
生理儂, seng1-li2-nang5, 生意人, k00, 汕頭話讀本
憑單, pheng5-tuann1, 證書, k10, 汕頭話讀本
字號, ji7-ho7, 商標, k00, 汕頭話讀本
稅務司, sue3-bu6-si1, 稅務局, k20, 汕頭話讀本
批信, phoi1-sin3, 信件, k00, 汕頭話讀本
家信, ke1-sin3, 家書, k00, 汕頭話讀本
買客, boi2-kheh4, 顧客, k10, 汕頭話讀本
過限, kue3-hang6, 逾期, k00, 汕頭話讀本
拆夥計, thiah4-hue2-ki3, 散夥, k00, 汕頭話讀本
餉關, hiang3-kuan1, 海關, k10, 汕頭話讀本
餉, hiang3, 關稅, k10, 汕頭話讀本
携餉, khieh4-hiang3, 收稅, k10, 汕頭話讀本
納餉, lap8-hiang3, 納稅, k10, 汕頭話讀本
走餉, tsau2-hiang3, 避稅, k10, 汕頭話讀本
頭路, thau5-lou7, 工作, k00, 汕頭話讀本
貨, hue3, 商品, k00, 汕頭話讀本
出口貨, tshut4-khau2-hue3, 出口商品, k00, 汕頭話讀本
入口貨, jip8-khau2-hue3, 進口商品, k00, 汕頭話讀本
貨單, hue3-tuann1, 發票, k10, 汕頭話讀本
家長, ke1-tienn2, 經理, k10, 汕頭話讀本|考釋
報餉單, po3-hiang3-tuann1, 載貨清單, k00, 汕頭話讀本
街市, koi1-chhi6, 市場, k00, 汕頭話讀本
客商, kheh4-siang1, 商人, k00, 汕頭話讀本
新聞紙, sin1-bun6-tsua2, 報紙, k20, 汕頭話讀本
簿囝, phou6-kiann2, 本子, k00, 汕頭話讀本
路票, lou7-phie3, 通行證, k10, 汕頭話讀本
酒錢, chiu2-chinn5, 郵費, k00, 汕頭話讀本
零些賣, lan5-san1-boi7, 零售, k10, 汕頭話讀本
舖頭, phou3-thau5, 店舖, k00, 汕頭話讀本
交掛, kau1-kua3, 交易, k00, 汕頭話讀本
買上盤, boi2-chienn7-puann5, 批發購進, k20, 汕頭話讀本
賣上盤, boi7-chienn7-puann5, 批發銷售, k20, 汕頭話讀本
做上盤, tso3-chienn7-puann5, 批發交易, k20, 汕頭話讀本
頭家, thau5-ke1, 老闆, k00, 考釋
