生分儂|生份儂, chhenn1-hun7-nang5, 陌生人, k00, 考釋
畏, ui3, 怕, k00, 考釋
痞囝, phai2-kiann2, 痞子, k00, 考釋
痱, bui3, 痱子, k00, 考釋
白肉, peh8-nek8, 肥肉, k00, 考釋
目汁, mak8-tsap4, 眼淚, k00, 考釋
目澀|目澁|目𥍆(U+25346), mak8-siap4, 睏倦, k00, 考釋
目眥毛, mak8-chhi3-mo5, 眼睫毛, k10, 考釋
眠床, min5-tshng5, 床, k00, 考釋
破家囝, phua3-ke1-kiann2, 敗家子, k00, 考釋
破相, pua3-sienn3, 毀容, k00, 考釋
破錢, phua3-chinn5, 破費, k00, 考釋
禿掌, thok4-chiann2, 禿頂, k00, 考釋
私家, sai1-khia1, 私人, k00, 考釋
私家錢, sai1-khia1-chinn5, 私房錢, k00, 考釋
粿|餜, kue2, 蛋糕, k00, 考釋
糜, muenn5, 粥, k00, 考釋
結疕, kit4-phi2, 結痂, k00, 考釋
羼隊, tshan6-tui7, 插隊, k10, 考釋
翁姐, ang1-chia2, 夫妻, k00, 考釋
翁姐囝, ang1-chia2-kiann2, 小兩口, k00, 考釋
翹楚, khiau5-tsho2, 出眾, k00, 考釋
耍, sng2, 玩, k00, 考釋
肉脞, nek8-tsho7, 肉末, k00, 考釋
肨, phong3, 脹, k00, 考釋
胕腫, pu6-cheng2, 浮腫, k00, 考釋
能爲, leng5-ui5, 能力, k00, 考釋
脢肉, bue5-nek8, 裏脊肉, k00, 考釋
脧, tsui6, (男孩)生殖器, k00, 考釋
脹肚, tienn3-tou2, 腹脹, k00, 考釋
腈肉, chiann1-nek8, 瘦肉, k00, 考釋
腡, lo5, 指紋, k00, 考釋
腰佝|腰痀, ie1-ku1, 駝背, k00, 考釋
腳, kha1, 腿, k00, 考釋
腳腸肚, kha1-tng5-tou2, 小腿肚, k00, 考釋
腳臁, kha1-niam5, 前脛骨, k00, 考釋
腳蹯, kha1-puann5, 足面, k00, 考釋
腳𢅎(U+2214E), kha1-kiau2, 綁腿, k20, 考釋
臊, tsho1, 腥, k00, 考釋
花嘴, hue1-tshui3, 花言巧語, k10, 考釋
花娘, hue1-nienn5, 妓女, k20, 考釋
芳, phang1, 香, k00, 考釋
菜頭, tshai3-thau5, 白蘿蔔, k00, 考釋
菜頭槁, tshai3-thau5-khau2, (醃製)蘿蔔條, k00, 考釋
蔗粕, chia3-phoh4, 甘蔗渣, k00, 考釋
蔫, iang1, (肉)變質, k00, 考釋
薄, poh8, (液體味道)淡, k00, 考釋
薟椒, hiam1-chie1, 辣椒, k00, 考釋
衋心, kek4-sim1, 痛心, k00, 考釋
行止, heng6-chi2, 品德, k00, 考釋
行踏, kiann5-tah8, 走動, k00, 考釋
衝性, cheng3-senn5, 發脾氣, k00, 考釋
衫䘼, sann1-ng2, 衣袖, k00, 考釋
衫裾, sann1-kur1, 衣襟, k10, 考釋
衫褲, sann1-khou3, 衣服, k00, 考釋
衰疲, sue1-phi5, 萎靡, k00, 考釋
衰颯, sue1-sap4, 萎靡, k00, 考釋
裘, hiunn5, 襖, k00, 考釋
褲腳, khou3-kha1, 褲腿, k00, 考釋
襇, koinn2, 裙褶, k10, 考釋
