han,puj,simple_puj,freq,phrase,phrase_puj,phrase_simple_puj
人,jîn,jin5,k10,,,
人,nâng,nang5,k01,,,
什,sĩm,sim6,k00,,,
什,si̍p,sip8,,,,
什,tsa̍p,tsap8,,,,
仁,jîn,jin5,k10,,,
仄,cheh,cheh4,,,,
仆,phok,phok4,,前仆後繼,tsôiⁿ-phok-ãu-kì,tsoinn5-phok4-au6-ki3
仇,chhiû,chhiu5,k10,,,
今,kiáⁿ,kiann2,,,,
今,kim,kim1,k00,,,
今,taⁿ,tann1,,,,
介,kài,kai3,k00,,,
仍,jiông,jiong5,,,,
仍,zông,zong5,,,,
仔,kiáⁿ,kiann2,,,,
仔,tsái,tsai2,,,,
仔,tsṳ́,tsur2,,,,
仕,sṳ̃,sur6,,,,
他,tha,tha1,,,,
仗,chiãng,chiang6,k10,,,
付,hù,hu3,k00,,,
仙,sien,sien1,,,,
仝,tâng,tang5,,,,
仝,thông,thong5,,,,
仟,tshoiⁿ,tshoinn1,,,,
代,tài,tai3,k10,交代,kau-tài,kau1-tai3
代,thòi,thoi3,k00,代理,thòi-lí,thoi3-li2
代,thoih,thoih4,,代職,thoih-cheh,thoih4-cheh4
代,tō,to7,k11,古代,kóu-tō,kou2-to7
令,lẽng,leng6,k00,,,
以,íⁿ,inn2,k00,,,
仰,ngiáng,ngiang2,k10,,,
仲,tõng,tong6,,,,
件,kiãⁿ,kiann6,k00,,,
任,jĩm,jim6,k00,,,
任,jīm,jim7,,,,
任,zuãn,zuan6,,,,
份,hūn,hun7,k00,,,
仿,huáng,huang2,k10,模仿,mô-huáng,mo5-huang2
企,khiã,khia6,k00,,,
企,kĩ,ki6,,,,
伊,i,i1,k00,,,
伍,ngóu,ngou2,,,,
伍,ngõu,ngou6,,,,
伎,kĩ,ki6,,,,
伏,ho̍k,hok8,k10,,,
伏,phak,phak4,,,,
伐,hua̍h,huah8,,,,
伐,hua̍t,huat8,,,,
休,hiuⁿ,hiunn1,k10,,,
伙,húe,hue2,k10,伙食,húe-chia̍h,hue2-chiah8
